name,text
Virat Kohli,@ABdeVilliers17 Hope you're still fast between the wickets.
Virat Kohli,No rest days. From here on its all about speed #IPL https://t.co/ULkpYmO1uI
Virat Kohli,"3 out of 3 🏆
#TeamIndia https://t.co/0tB1NCh65R"
Virat Kohli,Happy birthday @krunalpandya24. May you have a great year ahead. 🎂🥳
Virat Kohli,"Why wait for your AC to cool when you can get a fast-cooling Blue Star AC? ❄️
@BlueStarLtd https://t.co/7cGDElID0M"
Virat Kohli,"1 🆙, two to go 💪
#TeamIndia 🇮🇳 https://t.co/zk5UmdF1Fb"
Virat Kohli,⏳ https://t.co/WvTeMyeRZ5
Virat Kohli,"#Newlaunch
A kit for your all travel needs!🙌
Look and feel your best on the move with the #one8 holiday kit! 
Get y… https://t.co/5s8MA0FSzB"
Virat Kohli,🏆 https://t.co/ByGLRMLauT
Virat Kohli,Fake candid shot 📸 https://t.co/3ZCNTDVBn6
Virat Kohli,And the hard work continues 💪🇮🇳 https://t.co/p92QLR8Enu
Virat Kohli,Top game for us 👍 https://t.co/wpY25XEMAf
Virat Kohli,"New week, new format, same mission. Let's get it. 💪🇮🇳 https://t.co/Fd7wTZAgux"
Virat Kohli,Happy Women's Day to all the amazing women of the world. The strength of society is the strength of women.
Virat Kohli,"Happy birthday to the greatest ever. The fearless king. Sir viv 🙌👑
@ivivianrichards"
Virat Kohli,"We worked really hard for this, happy to be in the finals. Looking forward. 🏆
#TeamIndia https://t.co/cTzFkVheRl"
Virat Kohli,❤️...🏏 https://t.co/k6TVOljuIA
Virat Kohli,"A deo combo that helps you feel fresh and stay cool. 🤙
Get it on @Flipkart Super Saver Days from 1st to 3rd March.… https://t.co/FmW2GxBZFq"
Virat Kohli,The boys who make life hard in the gym but easy on the field🤝👏🇮🇳 https://t.co/L8vQcpTSSp
Virat Kohli,"The beginning of all great things for Team @one8world 🙌

Super stoked to announce that my lifestyle brand, will be… https://t.co/abWIvRmJTB"
Virat Kohli,"An absolute outstanding team effort. 💯
Brilliant on the field. Way to go boys 🇮🇳👏 https://t.co/No0dXnbGmG"
Virat Kohli,"📍Motera Stadium 
#TeamIndia https://t.co/GllgEwtUgJ"
Virat Kohli,"If you vibe with it, get your hands on these today!👌Best offers await you @ScentialsWorld . Head to… https://t.co/MM9wZ8Sbob"
Virat Kohli,Consistency is the 🔑 https://t.co/GybCwqFgCl
Virat Kohli,"🔥 on the field. The shoe and the wearer 😉. @pumacricket 19 one8 FH turning up the heat.
#IPL2021
.
Shop now ➡️… https://t.co/7t3kSEMCiC"
Virat Kohli,Superb character and fighting spirit on display.🙌 Well done boys. The focus is now on the next one. 🇮🇳💪 https://t.co/TEVceiOhYM
Virat Kohli,The work goes on 👊👊 https://t.co/3AHPP0dpvN
Virat Kohli,Let us all stay united in this hour of disagreements. Farmers are an integral part of our country and I'm sure an a… https://t.co/ZKJa6wqZuV
Virat Kohli,The first step to becoming a professional sportsperson is to start early and get quality coaching. With… https://t.co/TXSGkNQTAx
